2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-06 08:45:30.395428	https://dri.ufop.br/see/1421-santander-oferece-bolsas-para-cursos-online-sobre-tecnologias-emergentes	77,36	23	105	7	96	0	4	15	2	1	0	0	0	0	3	
2023-08-06 08:45:25.636844	https://posedu.ufop.br/news/prova-escrita-lista-de-candidatos-por-sala-processo-seletivo-2018	83,68	20	75	11	65	1	4	7	5	1	0	0	0	0	1	
2023-08-06 08:45:52.011534	https://www.prograd.ufop.br/secoes-de-ensino	70,75	32	327	5	309	1	5	22	11	0	0	0	0	4	2	
2023-08-06 08:45:16.194252	https://culturafotograficaufop.blogspot.com/search/label/Beto%20Eterovick?updated-max=2016-08-15T09:00:00-03:00&max-results=20&start=20&by-date=false	79,27	26	137	4	123	1	4	20	9	0	0	0	0	1	1	
2023-08-06 08:45:43.684416	https://culturafotograficaufop.blogspot.com/search/label/M%C3%A1rcio%20Rodrigues?updated-max=2016-09-26T11:30:00-03:00&max-results=20&start=20&by-date=false	79,27	26	137	4	123	1	4	20	9	0	0	0	0	1	1	
2023-08-06 08:46:17.242584	https://proex.ufop.br/file/pretoparcialpng	73,72	19	60	7	51	1	5	7	2	0	0	0	0	4	2	
2023-08-06 08:45:43.971859	https://forumdasletras.ufop.br/programa%C3%A7%C3%A3o-2021	78,93	21	41	11	23	1	4	8	14	1	0	0	0	0	0	
2023-08-06 08:45:32.674483	https://prof.ufop.br/2017-0?type=month&month=2023-08&mini=2023-06	88,45	13	113	6	97	1	4	6	11	0	0	0	0	0	1	
2023-08-06 08:45:30.378407	https://posedu.ufop.br/news/resultado-final-candidatosas-classificadosas-processo-seletivo-mestrado-e-doutorado-0	83,68	20	72	11	62	1	4	7	5	1	0	0	0	0	1	
2023-08-06 08:45:30.089216	https://nti.ufop.br/book/normas-de-utiliza%C3%A7%C3%A3o-13	85,57	7	51	3	41	1	3	3	6	0	0	0	0	0	1	
2023-08-06 08:46:30.969251	https://centrodeextensaojm.ufop.br/agenda-sala-de-espelhos	86,72	7	46	6	33	1	3	0	10	0	0	0	0	0	0	
2023-08-06 08:46:30.942242	http://www.cead.ufop.br/index.php/cursos-de-graduacao/pedagogia?layout=edit&id=1089	73,01	54	163	18	149	0	8	35	6	1	0	0	0	0	0	
2023-08-06 08:46:32.735892	http://www.em.ufop.br/index.php/resolucoes/2-uncategorised/318-resolucoes-cdem-sobre-cepe-7000-2018	85,52	8	63	5	58	0	1	2	4	1	0	0	0	0	0	
2023-08-06 08:46:45.172216	https://prograd.ufop.br/node/447/processo-seletivo-para-ingresso-no-2o-semestre-letivo-de-2017	66,99	19	70	4	54	1	5	9	9	1	0	0	0	4	2	
2023-08-06 08:46:08.166368	https://www.dri.ufop.br/read/1353	77,29	26	135	7	124	0	4	18	4	1	0	0	0	0	3	
2023-08-06 08:46:46.071840	http://www.cead.ufop.br/index.php/departamento-deete/41-lista-de-docentes/1089-profa-dra-marta-bertin	73,11	43	80	11	67	0	7	31	6	1	0	0	0	0	0	
2023-08-06 08:46:54.674303	http://www.decom.ufop.br/prof/marcone/Disciplinas/InteligenciaComputacional/LAHC.pptx	86,07	4	6	3	6	0	0	1	0	0	0	0	0	0	0	
2023-08-06 08:46:41.157006	http://dri.ufop.br/ufop-staff-registration	77,44	22	99	7	90	0	4	14	2	1	0	0	0	0	3	
2023-08-06 08:46:12.807836	https://eivaiumlinguistaai.ufop.br/2022/09/06/	86,67	52	227	13	175	1	13	37	19	0	19	0	0	1	1	
2023-08-06 08:46:52.295758	https://raem.ufop.br/news	86,19	18	35	15	25	1	3	2	7	0	0	0	0	0	0	
2023-08-06 08:46:53.039395	https://enut.ufop.br/media-gallery/detail/22530/46584	87,86	7	68	3	57	1	4	3	7	0	0	0	0	0	0	
2023-08-06 08:47:08.221671	https://redemat.ufop.br/processo-seletivo-20232	80,39	19	279	6	260	1	3	11	16	1	0	0	0	0	0	
2023-08-06 08:47:06.394787	http://www.cead.ufop.br/index.php/o-cead/degep?id=152	56,53	65	158	20	143	8	8	36	7	1	0	0	0	0	0	
