2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 19:00:17.488248	https://www.caint.ufop.br/see/1241-bolsas-para-estudo-de-espanhol-presencial-na-espanha	77,36	23	104	7	95	0	4	15	2	1	0	0	0	0	3	
2023-08-05 19:00:23.911068	http://www3.decom.ufop.br/decom/contato/	88,17	13	25	8	20	1	2	3	2	0	0	0	0	1	1	
2023-08-05 19:00:52.267280	http://www.nei.ufop.br/index.php?option=com_content&view=category&id=59&Itemid=416&limitstart=40	91,05	11	102	6	92	0	4	5	5	0	0	0	0	0	1	
2023-08-05 19:00:33.474037	https://cipharma.ufop.br/oferta-de-disciplinas	82,7	14	51	4	38	1	4	9	9	0	0	0	0	0	0	
2023-08-05 19:00:23.338216	https://www.caint.ufop.br/apresentacao-2	78,79	24	163	7	154	0	4	16	2	1	0	0	0	0	3	
2023-08-05 19:01:04.318328	https://vestibular.ufop.br/index.php?option=com_content&view=category&id=180&Itemid=139	91,01	6	23	4	18	1	1	1	3	0	0	0	0	0	1	
2023-08-05 19:00:18.419098	https://international.ufop.br/portuguese-foreign-language-course	74,52	28	80	9	72	1	5	14	1	0	0	0	0	4	2	
2023-08-05 19:00:37.042500	https://siass.ufop.br/constata%C3%A7%C3%A3o-de-defici%C3%AAncia	86,64	14	30	6	21	1	3	7	6	0	0	0	0	0	0	
2023-08-05 19:01:12.587480	http://www.soc.ufop.br/public/resolucao/mostrar/0000012481	79,4	15	15	5	13	1	0	7	1	0	0	0	0	2	1	
2023-08-05 19:00:25.998287	https://culturafotograficaufop.blogspot.com/search/label/Evgeny%20Maloletka?updated-max=2022-06-15T08:00:00-03:00&max-results=20&start=20&by-date=false	79,27	26	137	4	123	1	4	20	9	0	0	0	0	1	1	
2023-08-05 19:01:00.762594	https://prof.ufop.br/news/prof-informa-sobre-prazos-para-estimativa-de-receitas-pr%C3%B3prias-para-o-ploa-2024	87,74	10	67	5	53	1	3	4	10	0	0	0	0	0	1	
2023-08-05 19:01:12.111067	http://centrodeconvencoes.ufop.br/espa%C3%A7o-congonhas	81,88	10	34	4	29	1	3	5	2	0	0	0	0	0	0	
2023-08-05 19:01:21.063276	https://www.vestibular.ufop.br/index.php?option=com_content&view=category&id=180&Itemid=139	91,01	6	23	4	18	1	1	1	3	0	0	0	0	0	1	
2023-08-05 19:01:18.785270	https://prograd.ufop.br/estagios/links-externos	70,36	55	100	13	82	1	5	37	11	0	0	0	0	4	2	
2023-08-05 19:00:55.082664	https://cinevilarica.ufop.br/2023/03/22/	84,98	20	148	6	138	1	4	13	6	0	0	0	0	0	0	
2023-08-05 19:00:54.955050	http://www.em.ufop.br/index.php/comemoracoe-12-outubro/2-uncategorised/358-143-aniversario-de-fundacao-da-escola-de-minas	84,5	8	45	5	41	0	1	2	3	1	0	0	0	0	0	
2023-08-05 19:01:03.850463	https://cinevilarica.ufop.br/2022/10/19/	85,02	14	146	5	138	1	5	8	3	0	0	0	0	0	0	
2023-08-05 19:01:27.817692	http://www.soc.ufop.br/public/resolucao/mostrar/0000012440	79,4	15	15	5	13	1	0	7	1	0	0	0	0	2	1	
